icv_bucket,party,votes
"[5, 6)",FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,139.0
"[5, 6)",FUERZA PATRIA,1152.0
"[5, 6)",LA LIBERTAD AVANZA,1155.0
"[5, 6)",SOMOS BUENOS AIRES,229.0
"[5, 6)",VALORES REPUBLICANOS,50.0
"[6, 7)",FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,1204.0
"[6, 7)",FUERZA PATRIA,9507.0
"[6, 7)",LA LIBERTAD AVANZA,11043.0
"[6, 7)",SOMOS BUENOS AIRES,2079.0
"[6, 7)",VALORES REPUBLICANOS,513.0
"[7, 8)",FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,3210.0
"[7, 8)",FUERZA PATRIA,21538.0
"[7, 8)",LA LIBERTAD AVANZA,31875.0
"[7, 8)",SOMOS BUENOS AIRES,6169.0
"[7, 8)",VALORES REPUBLICANOS,1186.0
"[8, 9)",FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,2339.0
"[8, 9)",FUERZA PATRIA,14244.0
"[8, 9)",LA LIBERTAD AVANZA,26560.0
"[8, 9)",SOMOS BUENOS AIRES,5368.0
"[8, 9)",VALORES REPUBLICANOS,766.0
